father	padre
and;while;so;but	y
no	no
was;went	era;fue;estaba;estuvo
will	haré
feet	pies
jerusalem	jerusalem
comes	viene
god	dios
a	los;una;uno;uno
his;her;its	su
peter	pedro
scripture	escritura
nothing	nada
flesh	carne
glorified	glorificado
temple	templo
testify	testimonio
simon	simon
pharisees	fariseos
jesus	Jesús
nazareth	nazaret
lazarus	Lázaro
water	agua
christ	cristo
he	el
jews	Judíos
simon	Simón
galilee	galilea
tomb	sepulcro
the	el ; la ; los ; las
he	el ;  él
jesus	jesús
jews	judíos
to	á
that;if;or	que
but	pero;sino
said	dije; dijiste; dijo; dijimos; dijisteis; dijeron
him	él;le;lo
i	yo
do	hacer;haces;haciendo;hace
for	para;por;durante
disciples	discípulos
rabbi	rabbí
judas	judas
abraham	abraham
priest	pontífice
mary	maría
believe;believes	creer;creo;cree
nathanael	natanael
prophet	profeta
signs	señales
caiaphas	caifás
lazarus	lázaro
eyes	ojos
spirit	espíritu
on	en
are	estaba;son;están
have	había;hay;habrá
hates	aborrece
knowing	sabiendo
demon	demonio
iscariot	iscariote
darkness	tinieblas
eternal	eterna
days	días
martha	marta
whatever	todo
joy;pleasure;delight	gozo
joseph	josé
bed	lecho
well;then	pues
nicodemus	nicodemo
through	fué
linen;canvas;cloths	lienzos
wine	vino
supper	cena
commandment;command;warrant	 mandamientos
israel	israel
capernaum	capernaum
cana	caná
andrew	andrés
devil	diablo
magdalene	magdalena
signifying	entender
jordan	jordán
near;there	allí
pool;pond	estanque
prophets	profetas
hour;time	hora
came	fué
same	este
shines	resplandece
what	Qué
john	juan
these	estas
wrote	escribió
is	es
witness	testimonio
